Unnamed: 0,movie_id,original_language,original_title,popularity,release_date,title,vote_average,vote_count,genres
0,783461,hi,लूप लपेटा,56.311,2022-02-04,Looop Lapeta,6.2,54,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]"
1,592508,hi,Sooryavanshi,45.077,2021-11-05,Sooryavanshi,5.8,133,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]"
2,864692,hi,पठान,47.611,2023-01-25,Pathaan,6.7,70,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]"
3,1018228,hi,चोर निकल के भागा,43.789,2023-03-24,Chor Nikal Ke Bhaga,7.2,55,"[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]"
4,20453,hi,3 Idiots,37.26,2009-12-25,3 Idiots,8.0,2052,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]"
5,26022,hi,My Name Is Khan,31.062,2010-02-10,My Name Is Khan,8.1,1133,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
6,19404,hi,दिलवाले दुल्हनिया ले जायेंगे,22.596,1995-10-19,Dilwale Dulhania Le Jayenge,8.6,4097,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
7,767377,hi,धमाका,21.147,2021-11-19,Dhamaka,7.1,73,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]"
8,496331,hi,ब्रह्मास्त्र पहला भाग: शिवा,21.294,2022-09-09,Brahmāstra Part One: Shiva,6.7,109,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]"
9,534780,hi,अंधाधुन,18.334,2018-10-05,Andhadhun,7.6,396,"[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}, {'id': 35, 'name': 'Comedy'}]"
10,8079,hi,ओम शांति ओम,15.26,2007-11-09,Om Shanti Om,7.0,286,"[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]"
11,105379,hi,Blood Money,21.859,2012-03-31,Blood Money,6.1,7,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]"
12,10757,hi,कभी ख़ुशी कभी ग़म,13.112,2001-12-14,Kabhi Khushi Kabhie Gham,7.8,464,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
13,44977,hi,धूम ३,12.745,2013-12-20,Dhoom 3,6.0,232,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]"
14,974025,hi,गुमराह,13.687,2023-04-07,Gumraah,0.0,0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]"
15,360814,hi,दंगल,15.615,2016-12-23,Dangal,8.0,809,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 28, 'name': 'Action'}]"
16,37737,hi,Kites,12.588,2010-05-21,Kites,7.2,180,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 10749, 'name': 'Romance'}]"
17,444713,hi,कमांडो 2,12.283,2017-03-02,Commando 2 -  The Black Money Trail,6.0,32,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]"
18,14395,hi,कभी अलविदा ना कहना,14.552,2006-08-11,Kabhi Alvida Naa Kehna,6.4,174,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
19,7508,hi,तारे ज़मीन पर,18.721,2007-12-21,Like Stars on Earth,8.0,961,"[{'id': 18, 'name': 'Drama'}]"
20,466550,hi,Drive,15.674,2019-11-01,Drive,5.3,48,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]"
21,11854,hi,कुछ कुछ होता है,15.616,1998-10-16,Kuch Kuch Hota Hai,7.6,333,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]"
22,73582,hi,Bodyguard,11.58,2011-08-31,Bodyguard,5.3,114,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 10749, 'name': 'Romance'}]"
23,560964,hi,जंगली,12.369,2019-03-29,Junglee,6.7,94,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]"
